filename,conf_no,model,LOOKBACK_SIZE,kernel_size,n_filters,padding,pool_size,dense_layer_size,dropout,optimizer,loss,epochs,intermediate_dims,latent_dim,lstm_neurons,batch_size,threshold,lower_boundary,upper_boundary,downsample,subfile,bottom_depth,top_depth,accuracy,error_rate,prevalence,null_error_rate,precision,recall,specificity,fallout,miss_rate,f1_score,f2_score,false_discovery_rate,false_omission_rate,mcc,tp,tn,fp,fn
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,0.6,0.3,False,0.0,2582.9,3336.2000000000003,0.8291450604972743,0.1708549395027257,0.0555777157292913,0.9444222842707088,0.2119601328903654,0.7631578947368421,0.8330282979022948,0.1669717020977052,0.2368421052631578,0.3317732709308372,0.5020459553037457,0.7880398671096346,0.0164561170212765,0.3414041518005507,319,5917,1186,99
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,0.6,0.3,False,1.0,3338.3,4148.6,0.807316771721666,0.1926832282783339,0.0163144234334445,0.9836855765665554,0.0592958616429895,0.7272727272727273,0.808644302047996,0.191355697952004,0.2727272727272727,0.1096516276413478,0.223567768979972,0.9407041383570104,0.0055624227441285,0.1696958012145973,96,6436,1523,36
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,0.6,0.3,False,2.0,4206.6,4513.0,0.7991480996068152,0.2008519003931848,0.1644823066841415,0.8355176933158585,0.409165302782324,0.49800796812749,0.8584313725490196,0.1415686274509804,0.50199203187251,0.449236298292902,0.4772814051164566,0.5908346972176759,0.1032363785333879,0.3302197814383091,250,2189,361,252
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,0.6,0.3,False,,2582.9,4513.0,0.8147771110158594,0.1852228889841406,0.0563651950278611,0.9436348049721388,0.1780455153949129,0.6321292775665399,0.8256870315693845,0.1743129684306155,0.3678707224334601,0.2778358053060372,0.4186075790003777,0.821954484605087,0.0259227007837095,0.2639020756278162,665,14542,3070,387
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,,,True,0.0,2582.9,3336.2000000000003,0.6308100929614874,0.3691899070385126,0.0929614873837981,0.9070385126162018,0.1976744186046511,0.9714285714285714,0.595900439238653,0.404099560761347,0.0285714285714285,0.3285024154589371,0.5448717948717948,0.8023255813953488,0.0048899755501222,0.3307146917664193,68,407,276,2
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,,,True,1.0,3338.3,4148.6,0.4740740740740741,0.5259259259259259,0.028395061728395,0.971604938271605,0.0512249443207126,1.0,0.4587039390088945,0.5412960609911055,0.0,0.097457627118644,0.2125693160813309,0.9487750556792872,0.0,0.1532875850661827,23,361,426,0
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,,,True,2.0,4206.6,4513.0,0.7003257328990228,0.2996742671009772,0.250814332247557,0.749185667752443,0.4489795918367347,0.8571428571428571,0.6478260869565218,0.3521739130434783,0.1428571428571428,0.5892857142857143,0.7252747252747254,0.5510204081632653,0.06875,0.4381827649567401,66,149,81,11
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,80,,,True,,2582.9,4513.0,0.574331550802139,0.4256684491978609,0.0909090909090909,0.9090909090909092,0.1670212765957446,0.923529411764706,0.5394117647058824,0.4605882352941176,0.0764705882352941,0.2828828828828829,0.4845679012345679,0.8329787234042553,0.0139784946236559,0.2661762677935253,157,917,783,13
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,81,0.6,0.3,False,0.0,2582.9,3336.2000000000003,0.8381864113814652,0.1618135886185347,0.0555777157292913,0.9444222842707088,0.2204338698390482,0.7535885167464115,0.8431648599183443,0.1568351400816556,0.2464114832535885,0.3410936654033568,0.5079006772009029,0.7795661301609517,0.0169074195666447,0.3485040838220526,315,5989,1114,103
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,81,0.6,0.3,False,1.0,3338.3,4148.6,0.8173278951921888,0.1826721048078111,0.0163144234334445,0.9836855765665554,0.0624187256176853,0.7272727272727273,0.8188214599824098,0.1811785400175901,0.2727272727272727,0.1149700598802395,0.2323330106485963,0.9375812743823146,0.0054936670227376,0.1763134810723757,96,6517,1442,36
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,81,0.6,0.3,False,2.0,4206.6,4513.0,0.8060288335517694,0.1939711664482306,0.1644823066841415,0.8355176933158585,0.4224137931034483,0.4880478087649402,0.8686274509803922,0.1313725490196078,0.5119521912350598,0.4528650646950092,0.473338485316847,0.5775862068965517,0.1039644012944983,0.337020799861374,245,2215,335,257
15_9-F-11 T2.csv,0,deepant,12,3,7,causal,2,6,0.25,adam,mean_absolute_error,2,,,,,81,0.6,0.3,False,,2582.9,4513.0,0.8238855550792971,0.1761144449207029,0.0563651950278611,0.9436348049721388,0.1849450239639131,0.623574144486692,0.8358505564387917,0.1641494435612082,0.376425855513308,0.2852794085670798,0.4229529335912314,0.8150549760360868,0.0261956737447906,0.270061794311108,656,14721,2891,396
