conf_no,subfile,threshold,downsample,accuracy,precision,recall,f1_score,mcc,prevalence
0,0.0,80,False,0.8307405930062491,0.2159468438538206,0.777511961722488,0.3380135205408216,0.350107685737812,0.0555777157292913
0,1.0,80,False,0.8083055246570263,0.0617665225447807,0.7575757575757576,0.1142204454597373,0.179450262645484,0.0163144234334445
0,2.0,80,False,0.8174967234600262,0.4549918166939443,0.5537848605577689,0.499550763701707,0.39206642239534,0.1644823066841415
0,,80,False,0.8188491213030433,0.1882195448460508,0.6682509505703422,0.2937121370378107,0.2859676609381984,0.0563651950278611
0,0.0,80,True,0.6095617529880478,0.1871508379888268,0.9571428571428572,0.3130841121495327,0.3088021905974626,0.0929614873837981
0,1.0,80,True,0.382716049382716,0.0439770554493307,1.0,0.0842490842490842,0.1266387618483687,0.028395061728395
0,2.0,80,True,0.7198697068403909,0.4693877551020408,0.8961038961038961,0.6160714285714285,0.4833092690968673,0.250814332247557
0,,80,True,0.5294117647058824,0.1546692607003891,0.9352941176470588,0.2654424040066778,0.2450657739560982,0.0909090909090909
0,0.0,81,False,0.8395160218056109,0.2239328201539538,0.7655502392344498,0.3465078505684894,0.3559008260329815,0.0555777157292913
0,1.0,81,False,0.817822271659869,0.0637191157347204,0.7424242424242424,0.1173652694610778,0.1812864726897381,0.0163144234334445
0,2.0,81,False,0.8243774574049804,0.4706896551724138,0.5438247011952191,0.5046210720887245,0.4000994486698053,0.1644823066841415
0,,81,False,0.8276360908701244,0.1948125176205244,0.6568441064638784,0.3005001087192868,0.2907869194283862,0.0563651950278611
0,0.0,81,True,0.6387782204515272,0.1976047904191616,0.9428571428571428,0.3267326732673267,0.3217460810948679,0.0929614873837981
0,1.0,81,True,0.4049382716049383,0.0455445544554455,1.0,0.0871212121212121,0.1328558806288824,0.028395061728395
0,2.0,81,True,0.7328990228013029,0.4822695035460992,0.8831168831168831,0.6238532110091743,0.4920978818160468,0.250814332247557
0,,81,True,0.5529411764705883,0.160204081632653,0.923529411764706,0.2730434782608695,0.2529371149754021,0.0909090909090909
0,0.0,82,False,0.847892567477729,0.2319054652880354,0.7511961722488039,0.3544018058690745,0.3606280994818633,0.0555777157292913
0,1.0,82,False,0.8275862068965517,0.0665751544269045,0.7348484848484849,0.1220893643801132,0.1859331496646454,0.0163144234334445
0,2.0,82,False,0.8315858453473133,0.4890909090909091,0.5358565737051793,0.5114068441064639,0.4105445558219716,0.1644823066841415
0,,82,False,0.8364230604372053,0.2023207378756322,0.6463878326996197,0.3081803761613415,0.2965917572367992,0.0563651950278611
0,0.0,82,True,0.6626826029216467,0.2088607594936709,0.9428571428571428,0.3419689119170984,0.339405703132863,0.0929614873837981
0,1.0,82,True,0.4333333333333333,0.0477178423236514,1.0,0.091089108910891,0.1410230017292171,0.028395061728395
0,2.0,82,True,0.749185667752443,0.5,0.8831168831168831,0.6384976525821596,0.5126530594667948,0.250814332247557
0,,82,True,0.5775401069518716,0.1680942184154175,0.923529411764706,0.2844202898550724,0.2682018843581402,0.0909090909090909
0,0.0,83,False,0.856003191065018,0.2400312744331509,0.7344497607655502,0.3618149675898645,0.3644407813771464,0.0555777157292913
0,1.0,83,False,0.8373501421332344,0.0697674418604651,0.7272727272727273,0.1273209549071618,0.1910048636255359,0.0163144234334445
0,2.0,83,False,0.8371559633027523,0.5048169556840078,0.5219123505976095,0.5132223310479921,0.4155610460358745,0.1644823066841415
0,,83,False,0.8448349764252036,0.2095148078134845,0.6321292775665399,0.314718409843824,0.3005980596557744,0.0563651950278611
0,0.0,83,True,0.6892430278884463,0.2229729729729729,0.9428571428571428,0.360655737704918,0.3603338655361502,0.0929614873837981
0,1.0,83,True,0.4580246913580247,0.0497835497835497,1.0,0.0948453608247422,0.1483696888864892,0.028395061728395
0,2.0,83,True,0.755700325732899,0.5075757575757576,0.8701298701298701,0.6411483253588517,0.5144306237829673,0.250814332247557
0,,83,True,0.6,0.1752808988764045,0.9176470588235294,0.2943396226415095,0.2796868232525865,0.0909090909090909
0,0.0,84,False,0.864379736737136,0.25,0.7200956937799043,0.3711467324290999,0.3704847932480927,0.0555777157292913
0,1.0,84,False,0.8473612656037572,0.0741312741312741,0.7272727272727273,0.1345480028030834,0.1992271921352864,0.0163144234334445
0,2.0,84,False,0.8351900393184797,0.4989775051124744,0.4860557768924303,0.4924318869828456,0.3941237396546408,0.1644823066841415
0,,84,False,0.8522288898414059,0.214524765729585,0.6093155893536122,0.3173267326732673,0.2994061136982491,0.0563651950278611
0,0.0,84,True,0.7118193891102258,0.2365591397849462,0.9428571428571428,0.3782234957020057,0.3793987319908341,0.0929614873837981
0,1.0,84,True,0.5037037037037037,0.0541176470588235,1.0,0.1026785714285714,0.1627093280527696,0.028395061728395
0,2.0,84,True,0.762214983713355,0.515625,0.8571428571428571,0.6439024390243901,0.5165864858701498,0.250814332247557
0,,84,True,0.6299465240641712,0.1862980769230769,0.9117647058823528,0.3093812375249501,0.29706665346095,0.0909090909090909
0,0.0,85,False,0.8727562824092541,0.2612931798051373,0.7057416267942583,0.3813833225597931,0.3773653914131697,0.0555777157292913
0,1.0,85,False,0.85712520084044,0.0782537067545304,0.7196969696969697,0.1411589895988113,0.2054291127293295,0.0163144234334445
0,2.0,85,False,0.8368283093053736,0.5043668122270742,0.4601593625498008,0.48125,0.3852491598569401,0.1644823066841415
0,,85,False,0.8601050150021432,0.2217065333809353,0.5903041825095057,0.3223462237217752,0.3012574935599478,0.0563651950278611
0,0.0,85,True,0.7317397078353254,0.25,0.9428571428571428,0.3952095808383233,0.397364725266615,0.0929614873837981
0,1.0,85,True,0.5407407407407407,0.0582278481012658,1.0,0.1100478468899521,0.1752274142695573,0.028395061728395
0,2.0,85,True,0.7654723127035831,0.5203252032520326,0.8311688311688312,0.6400000000000001,0.5083338456937001,0.250814332247557
0,,85,True,0.6545454545454545,0.1956521739130435,0.9,0.3214285714285714,0.3088922177296039,0.0909090909090909
0,0.0,86,False,0.879936178699641,0.2697056030389363,0.6794258373205742,0.3861318830727396,0.3771107845722026,0.0555777157292913
0,1.0,86,False,0.8666419478432826,0.0820829655781112,0.7045454545454546,0.1470355731225296,0.2094965817238598,0.0163144234334445
0,2.0,86,False,0.8401048492791612,0.5163551401869159,0.4402390438247012,0.4752688172043011,0.3833436625497282,0.1644823066841415
0,,86,False,0.8676596656665237,0.2287681713848508,0.5684410646387833,0.3262411347517731,0.3016841891001742,0.0563651950278611
0,0.0,86,True,0.7556440903054449,0.2663934426229508,0.9285714285714286,0.4140127388535032,0.4135240252690937,0.0929614873837981
0,1.0,86,True,0.571604938271605,0.0621621621621621,1.0,0.1170483460559796,0.1864240883737573,0.028395061728395
0,2.0,86,True,0.7719869706840391,0.5294117647058824,0.8181818181818182,0.6428571428571428,0.5113293958326258,0.250814332247557
0,,86,True,0.6786096256684492,0.2060027285129604,0.888235294117647,0.3344407530454042,0.3214517219688745,0.0909090909090909
0,0.0,87,False,0.8883127243717591,0.2842535787321063,0.6650717703349283,0.3982808022922636,0.3858938297269992,0.0555777157292913
0,1.0,87,False,0.8761586948461253,0.0865019011406844,0.6893939393939394,0.1537162162162162,0.2141894157450546,0.0163144234334445
0,2.0,87,False,0.8476408912188729,0.5465994962216625,0.4322709163346613,0.4827586206896551,0.398586096940031,0.1644823066841415
0,,87,False,0.8763930561508787,0.2414503502266172,0.5570342205323194,0.3368784133371659,0.3102745095219978,0.0563651950278611
0,0.0,87,True,0.7782204515272244,0.2863436123348017,0.9285714285714286,0.4377104377104377,0.4374938868694349,0.0929614873837981
0,1.0,87,True,0.6037037037037037,0.066860465116279,1.0,0.1253405994550408,0.1989712319311405,0.028395061728395
0,2.0,87,True,0.7817589576547231,0.543859649122807,0.8051948051948052,0.649214659685864,0.5195623248103874,0.250814332247557
0,,87,True,0.7032085561497327,0.218978102189781,0.8823529411764706,0.3508771929824562,0.3387059706848952,0.0909090909090909
0,0.0,88,False,0.8958915037893898,0.2978959025470653,0.6435406698564593,0.4072672218016654,0.3906906743244511,0.0555777157292913
0,1.0,88,False,0.885675441848968,0.0916580844490216,0.6742424242424242,0.1613780598368087,0.2196353904589925,0.0163144234334445
0,2.0,88,False,0.8502621231979031,0.5613079019073569,0.4103585657370518,0.474108170310702,0.3957520233554499,0.1644823066841415
0,,88,False,0.8840012858979854,0.251673360107095,0.5361216730038023,0.3425447919829942,0.3128294269697038,0.0563651950278611
0,0.0,88,True,0.8061088977423638,0.3137254901960784,0.9142857142857144,0.4671532846715328,0.4634392106415304,0.0929614873837981
0,1.0,88,True,0.6308641975308642,0.0714285714285714,1.0,0.1333333333333333,0.2104546505072546,0.028395061728395
