conf_no,subfile,threshold,downsample,accuracy,precision,recall,f1_score,mcc,prevalence
0,0.0,80,False,0.8209212797026417,0.1911081619110816,0.6889952153110048,0.2992207792207793,0.2962476497733091,0.0554891809372096
0,1.0,80,False,0.8066148340120943,0.0573719925971622,0.7045454545454546,0.1061038220193953,0.1622886635850826,0.0162902628656053
0,2.0,80,False,0.8156005221932114,0.4486133768352365,0.547808764940239,0.4932735426008969,0.3847761752706458,0.1638381201044386
0,,80,False,0.8138502673796791,0.1753541833734295,0.623574144486692,0.2737325266012935,0.2584825343837038,0.0562566844919786
0,0.0,80,True,0.5663129973474801,0.1746835443037974,0.9857142857142858,0.2967741935483871,0.2958282185480712,0.0928381962864721
0,1.0,80,True,0.3403205918618989,0.0412186379928315,1.0,0.0791738382099827,0.115038701345865,0.0283600493218249
0,2.0,80,True,0.6915584415584416,0.4391891891891892,0.8441558441558441,0.5777777777777777,0.4202101576313649,0.25
0,,80,True,0.4890549919914576,0.142597638510445,0.923529411764706,0.2470495672698662,0.2154800391259864,0.0907634810464495
0,0.0,81,False,0.8306119739811496,0.2004189944134078,0.6866028708133971,0.3102702702702702,0.3067051751788511,0.0554891809372096
0,1.0,81,False,0.8163643095149945,0.0597402597402597,0.696969696969697,0.1100478468899521,0.1662652066961971,0.0162902628656053
0,2.0,81,False,0.8198433420365535,0.4570446735395189,0.5298804780876494,0.4907749077490775,0.3836026656221983,0.1638381201044386
0,,81,False,0.8226737967914438,0.1814856499718627,0.6131178707224335,0.28006947459835,0.26326948109827,0.0562566844919786
0,0.0,81,True,0.5928381962864722,0.184,0.9857142857142858,0.3101123595505618,0.3124663205212918,0.0928381962864721
0,1.0,81,True,0.3686806411837238,0.0429906542056074,1.0,0.082437275985663,0.1227095770733374,0.0283600493218249
0,2.0,81,True,0.7142857142857143,0.4609929078014184,0.8441558441558441,0.5963302752293578,0.447732419630045,0.25
0,,81,True,0.5157501334757074,0.1493815413891532,0.923529411764706,0.2571662571662571,0.2307293728387404,0.0907634810464495
0,0.0,82,False,0.8388424266560467,0.2064896755162241,0.6698564593301436,0.3156708004509582,0.3090379314516411,0.0554891809372096
0,1.0,82,False,0.8258669628532642,0.0616860863605209,0.6818181818181818,0.1131363922061596,0.1680471693877643,0.0162902628656053
0,2.0,82,False,0.8244125326370757,0.4673913043478261,0.5139442231075697,0.4895635673624288,0.3844517604724039,0.1638381201044386
0,,82,False,0.830855614973262,0.1865161865161865,0.596958174904943,0.2842272007241457,0.2649130745165379,0.0562566844919786
0,0.0,82,True,0.616710875331565,0.1898016997167138,0.9571428571428572,0.3167848699763593,0.3134857038852489,0.0928381962864721
0,1.0,82,True,0.3908754623921085,0.0444874274661508,1.0,0.0851851851851851,0.1288336179359543,0.0283600493218249
0,2.0,82,True,0.724025974025974,0.4710144927536231,0.8441558441558441,0.6046511627906977,0.4598701275824323,0.25
0,,82,True,0.5365723438334223,0.1537698412698412,0.9117647058823528,0.2631578947368421,0.236762325429663,0.0907634810464495
0,0.0,83,False,0.8466746316208682,0.2123341139734582,0.6507177033492823,0.3201883460859329,0.3101186949323458,0.0554891809372096
0,1.0,83,False,0.8358632605207947,0.0653120464441219,0.6818181818181818,0.119205298013245,0.1752952069650505,0.0162902628656053
0,2.0,83,False,0.8293080939947781,0.4798464491362764,0.49800796812749,0.4887585532746822,0.3864484330776032,0.1638381201044386
0,,83,False,0.8391443850267379,0.1924528301886792,0.5817490494296578,0.2892249527410208,0.267558349342105,0.0562566844919786
0,0.0,83,True,0.6392572944297082,0.1994047619047619,0.9571428571428572,0.3300492610837438,0.3292279839359774,0.0928381962864721
0,1.0,83,True,0.4241676942046856,0.046938775510204,1.0,0.0896686159844054,0.1382786992029807,0.0283600493218249
0,2.0,83,True,0.737012987012987,0.4848484848484848,0.8311688311688312,0.6124401913875598,0.4696969696969697,0.25
0,,83,True,0.5621996796583022,0.1607515657620041,0.9058823529411764,0.2730496453900709,0.2492885371047906,0.0907634810464495
0,0.0,84,False,0.8547723350590735,0.2197346600331675,0.6339712918660287,0.3263546798029557,0.3132279696050262,0.0554891809372096
0,1.0,84,False,0.8453659138590646,0.0678488820354664,0.6666666666666666,0.1231630510846746,0.1777983646350249,0.0162902628656053
0,2.0,84,False,0.8325718015665796,0.4887983706720977,0.4780876494023904,0.4833836858006042,0.3835291991292606,0.1638381201044386
0,,84,False,0.8470588235294118,0.198062792251169,0.5636882129277566,0.2931290163124073,0.2687039355631176,0.0562566844919786
0,0.0,84,True,0.6657824933687002,0.2120253164556962,0.9571428571428572,0.3471502590673575,0.3488430600169782,0.0928381962864721
0,1.0,84,True,0.4648581997533909,0.0503282275711159,1.0,0.0958333333333333,0.1503641626902565,0.0283600493218249
0,2.0,84,True,0.7597402597402597,0.5121951219512195,0.8181818181818182,0.63,0.4937313033099692,0.25
0,,84,True,0.594233849439402,0.1707589285714285,0.9,0.2870544090056285,0.2666723499727709,0.0907634810464495
0,0.0,85,False,0.8630027877339705,0.2283185840707964,0.6172248803827751,0.3333333333333333,0.3171447125932313,0.0554891809372096
0,1.0,85,False,0.8551153893619647,0.0715460526315789,0.6590909090909091,0.129080118694362,0.1834137985582313,0.0162902628656053
0,2.0,85,False,0.8368146214099217,0.5021739130434782,0.4601593625498008,0.4802494802494803,0.3841967708437196,0.1638381201044386
0,,85,False,0.8552941176470589,0.2052744119743407,0.5475285171102662,0.2986003110419906,0.2717384877689864,0.0562566844919786
