filename,conf_no,model,LOOKBACK_SIZE,kernel_size,n_filters,padding,pool_size,dense_layer_size,dropout,optimizer,loss,epochs,intermediate_dims,latent_dim,lstm_neurons,batch_size,batch_size_train,batch_size_test,threshold,lower_boundary,upper_boundary,downsample,subfile,bottom_depth,top_depth,accuracy,error_rate,prevalence,null_error_rate,precision,recall,specificity,fallout,miss_rate,f1_score,f2_score,false_discovery_rate,false_omission_rate,mcc,tp,tn,fp,fn
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,0.6,0.3,False,0.0,2582.9,3336.2000000000003,0.8209212797026417,0.1790787202973583,0.0554891809372096,0.9445108190627904,0.1911081619110816,0.6889952153110048,0.8286718200983837,0.1713281799016163,0.3110047846889952,0.2992207792207793,0.4529726329034288,0.8088918380889184,0.0215731828742117,0.2962476497733091,288,5896,1219,130
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,0.6,0.3,False,1.0,3338.3,4148.6,0.8066148340120943,0.1933851659879057,0.0162902628656053,0.9837097371343948,0.0573719925971622,0.7045454545454546,0.8083051060092836,0.1916948939907163,0.2954545454545454,0.1061038220193953,0.216379711493718,0.9426280074028378,0.0060166615242209,0.1622886635850826,93,6443,1528,39
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,0.6,0.3,False,2.0,4206.6,4513.0,0.8156005221932114,0.1843994778067885,0.1638381201044386,0.8361618798955613,0.4486133768352365,0.547808764940239,0.868071818891491,0.1319281811085089,0.4521912350597609,0.4932735426008969,0.5246089278901183,0.5513866231647635,0.0926152590779273,0.3847761752706458,275,2224,338,227
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,0.6,0.3,False,,2582.9,4513.0,0.8138502673796791,0.1861497326203208,0.0562566844919786,0.9437433155080214,0.1753541833734295,0.623574144486692,0.8251926563916591,0.1748073436083408,0.376425855513308,0.2737325266012935,0.4126305195622091,0.8246458166265704,0.0264723577779263,0.2584825343837038,656,14563,3085,396
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,,,True,0.0,2582.9,3336.2000000000003,0.5663129973474801,0.4336870026525199,0.0928381962864721,0.9071618037135278,0.1746835443037974,0.9857142857142858,0.5233918128654971,0.4766081871345029,0.0142857142857142,0.2967741935483871,0.5111111111111111,0.8253164556962025,0.0027855153203342,0.2958282185480712,69,358,326,1
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,,,True,1.0,3338.3,4148.6,0.3403205918618989,0.6596794081381011,0.0283600493218249,0.9716399506781752,0.0412186379928315,1.0,0.3210659898477157,0.6789340101522843,0.0,0.0791738382099827,0.1769230769230769,0.9587813620071683,0.0,0.115038701345865,23,253,535,0
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,,,True,2.0,4206.6,4513.0,0.6915584415584416,0.3084415584415584,0.25,0.75,0.4391891891891892,0.8441558441558441,0.6406926406926406,0.3593073593073593,0.1558441558441558,0.5777777777777777,0.7127192982456141,0.5608108108108109,0.075,0.4202101576313649,65,148,83,12
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,80,,,True,,2582.9,4513.0,0.4890549919914576,0.5109450080085425,0.0907634810464495,0.9092365189535504,0.142597638510445,0.923529411764706,0.4456840869054609,0.5543159130945391,0.0764705882352941,0.2470495672698662,0.4407636159460977,0.857402361489555,0.0168393782383419,0.2154800391259864,157,759,944,13
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,81,0.6,0.3,False,0.0,2582.9,3336.2000000000003,0.8306119739811496,0.1693880260188504,0.0554891809372096,0.9445108190627904,0.2004189944134078,0.6866028708133971,0.8390723822909346,0.1609276177090653,0.3133971291866029,0.3102702702702702,0.4623067010309278,0.7995810055865922,0.0214718898541222,0.3067051751788511,287,5970,1145,131
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,81,0.6,0.3,False,1.0,3338.3,4148.6,0.8163643095149945,0.1836356904850055,0.0162902628656053,0.9837097371343948,0.0597402597402597,0.696969696969697,0.8183414878936144,0.1816585121063856,0.303030303030303,0.1100478468899521,0.2224371373307543,0.9402597402597402,0.0060947737315252,0.1662652066961971,92,6523,1448,40
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,81,0.6,0.3,False,2.0,4206.6,4513.0,0.8198433420365535,0.1801566579634465,0.1638381201044386,0.8361618798955613,0.4570446735395189,0.5298804780876494,0.8766588602654176,0.1233411397345823,0.4701195219123506,0.4907749077490775,0.5135135135135135,0.5429553264604811,0.0950846091861402,0.3836026656221983,266,2246,316,236
15_9-F-11 T2.csv,0,vae,,,,,,,,adam,mean_absolute_error,20,[4],2,,,64,1,81,0.6,0.3,False,,2582.9,4513.0,0.8226737967914438,0.1773262032085561,0.0562566844919786,0.9437433155080214,0.1814856499718627,0.6131178707224335,0.8351654578422484,0.1648345421577516,0.3868821292775665,0.28006947459835,0.4154856995619685,0.8185143500281373,0.0268717813284035,0.26326948109827,645,14739,2909,407
